方名,text
五味活血汤,"蒲公英,金银花,紫背天葵,蚤休,当归,赤芍,丹参,鸡血藤,牛膝,黄芪,防己"
五虎丹,"当归,红花,白芷,防风"
五虎散,"当归,红花,白芷,防风,天南星"
五倍丸,"五倍子,菊花,荆芥,旋覆花"
五海瘿瘤丸,"海带,海螵蛸,昆布,浮麦,白芷,木香,海粉"
五积散,"苍术,枳壳,陈皮,赤芍,白芷,川芎,当归,甘草,肉桂,茯苓,半夏,厚朴,干姜,麻黄"
七味铁屑丸,"铁屑,木香,木香,甘青青蓝,红花,五灵脂"
内府万灵膏,"白凤仙,当归,自然铜,血竭,没药,川芎,赤芍,红花,牛膝,五加皮,石菖蒲,苍术,木香,秦艽,蛇床子,附子,肉桂,半夏,石斛,萆薢,鹿角,虎骨,麝香"
化风清上沐方,"薄荷,白芷,葛根,蔓荆子,川芎,桑叶"
化坚油,"透骨草,茜草,木通,松节,紫草,地榆,昆布,刘寄奴,香油"
化坚膏,"夏枯草,海藻,干姜,鹿角,五灵脂,甘遂,大戟,牡蛎,白芥子,雄黄,肉桂,麝香,信石"
化坚膏2,"白芥子,地龙,威灵仙,急性子,透骨草,麻根,细辛,乌梅,穿山甲,血余,江子,全蝎,防风,草乌,硇砂"
化毒胶,"紫草,当归,红花,甘草,麻油,黄蜡,白蜡,血竭,乳香,没药,珍珠,硼砂"
化斑解毒汤,"玄参,石膏,黄连,连翘,地黄,凌霄花,甘草"
化瘀丸,"柴胡,栀子,当归,红花,赤芍"
化瘀止血方,"丹参,三七,当归,川芎,香附,党参,益母草"
化瘀止血汤,"丹参,赤芍,茜草,三七,降香"
化瘀通络洗剂,"骨碎补,桑寄生,伸筋草,威灵仙,桃仁,续断,当归,桑枝,川芎,红花"
七厘散,"朱砂,冰片,乳香,红花,没药,血竭,儿茶"
七将擒拿方,"土鳖虫,朱砂,银粉,骨碎补,接骨虫,白蜡"
槐降汤,"麻黄,槐子,黄芪,白术,柴胡,当归,大腹皮,木香,甘草"
双柏散,"大黄,黄柏,泽兰,侧柏"
天麻丸,"天麻,牛膝,杜仲,萆薢,玄参,当归,地黄,羌活,附子"
九散,"马子,乳香,没药"
九散2,"乳香,马子,麻黄,土鳖虫,自然铜"
九龙丹,"儿茶,血竭,乳香,没药,巴豆,木香"
太乙保和汤,"桔梗,紫草,川芎,山楂,木通,人参,红花,地黄,甘草,糯米"
少腹化瘀汤,"红藤,桃仁,红花,当归,元胡,赤芍,炮姜,柴胡,桂枝,香附,川楝子,茴香"
少腹逐瘀汤,"茴香,元胡,没药,当归,川芎,肉桂,赤芍,蒲黄,灵脂"
巴油膏,"巴豆,香油"
牛膝方,"木瓜,糯米,盐,川乌,牛膝,萆薢,茴香,羌活,青皮,盐,狗脊,巴戟,海桐皮"
木瓜酒,"红花,川芎,桑寄生,秦艽,牛膝,羌活,独活,陈皮,五加皮,当归,木瓜,玉竹,山栀"
木耳散,"木耳,川芎,牛膝,杜仲,木瓜,乳香,没药"
木香槟榔丸,"木香,青皮,陈皮,广术,黄连,枳壳,黄柏,大黄,附子,牵牛"
木香槟榔丸2,"大黄,香附,木香,槟榔,枳壳,青皮,当归,陈皮,三棱,蓬术,黄连,木通,萝卜子,郁金,甘草"
木香槟榔丸3,"木香,槟榔,广荗,黄连,青皮,陈皮,巴戟,当归,枳壳,大黄,附子,黄柏,牵牛"
木香槟榔丸4,"木香,枳壳,橘红,青皮,牵牛,莪术,黄柏,当归,大黄,黄连"
玉液金丹,"党参,黄芩,炙草,琥珀,牡丹皮,沉香,川贝,川芎,香附,山药,于术,当归,砂仁,白芍,木香,茯神,续断,橘红,菟丝子,杜仲,枳壳,益母草,血竭,山楂,大腹皮,茯苓,荷叶,阿胶,艾叶,潼蒺藜,麦冬"
加减退赤散,"黄芩,赤芍,牡丹皮,地黄,木通,栀子,青黛"
加减六味地黄丸,"地黄,茯苓,泽泻,山药,当归,丹参,茜草,红花,甘草"
二子二石汤,"月石,海浮石,胖大海,诃子"
二仁绛覆汤,"桃仁,当归,真新绛半,旋覆花,葱"
生乳丸,"当归,川芎,白芍,通草,麦芽,穿山甲,漏芦,黄芪,鹿角,木香,王不留行"
加减茯神汤,"茯神,当归,远志,麦冬,知母,羚羊角,水牛角"
加减全虫方,"全虫,当归,赤芍,白鲜皮,蛇床子,浮萍,厚朴,陈皮,甘草"
四黄散,"黄连,黄柏,黄芩,大黄,乳香,没药"
加味保元汤,"人参,黄芪,甘草,当归,赤芍,红花,黄芩,黄连,连翘,防风,荆芥,牛蒡子"
加味和胃止痉汤,"瓦楞,赤芍,白芍,当归,木瓜,莲藕,旋覆花,代赭石,杏仁,橘红,红花,香附,玫瑰花,砂仁,生姜"
加味养血凉血汤,"当归,白芍,地黄,川芎,黄柏,鸡血藤,丝瓜络,橘络,木瓜,牛膝"
加味泽兰汤,"泽兰,当归,酒芍,甘草,五灵脂,蒲黄,通草"
加味健步虎潜丸,"龟胶,虎骨,何首乌,牛膝,杜仲,锁阳,当归,威灵仙,黄柏,人参,羌活,干姜,白芍,白术,地黄,附子,生姜,盐,黄连,甘草"
加味荆芥散,"荆芥,五灵脂,荠菜"
加味导痰饮,"半夏,陈皮,甘草,枳实,川芎,生姜,青皮,鳖甲"
加味解毒内托饮,"金银花,连翘,赤芍,白芷,陈皮,穿山甲,皂角刺"
加味解毒散结汤,"板兰根,薄荷,蒲公英,瓜蒌,玄参,桔梗,地黄,赤芍,草河车,郁金,蜂房"
四物止痛汤,"当归,白芍,地黄,乳香,没药"
